participant_id,condition,audio,task_index,word_search_type,outcome,distance_seconds,word_search_success,word_search_failure,word_search_time_sec
p4,keyword,6.mp3,5,short,spacebar,1.1182919999999967,True,False,12.418
p4,keyword,6.mp3,6,long,spacebar,0.5257479999999646,True,False,16.915
p4,sentence,7.mp3,1,short,spacebar,0.7632589999999979,True,False,6.778
p4,sentence,7.mp3,2,long,spacebar,1.1258230000000111,True,False,56.009
p4,sentence,7.mp3,3,long,spacebar,0.5762519999999824,True,False,23.785
p4,sentence,7.mp3,4,long,spacebar,1.4091589999999883,True,False,30.185
p4,sentence,7.mp3,5,short,spacebar,1.5524510000000191,True,False,41.724
p4,sentence,7.mp3,6,short,spacebar,0.6054070000000138,True,False,2.664
p4,word,10.mp3,1,long,spacebar,0.7930040000000007,True,False,29.698
p4,word,10.mp3,2,long,spacebar,0.6079320000000052,True,False,19.45
p4,word,10.mp3,3,short,spacebar,1.67433699999998,True,False,9.257
p4,word,10.mp3,4,short,spacebar,1.364325999999977,True,False,6.34
p4,word,10.mp3,5,short,spacebar,0.8264290000000187,True,False,14.362
p4,word,10.mp3,6,long,spacebar,0.5784059999999727,True,False,10.375
